#h_time,t_alpha/°C,out_alpha/12bit,t_beta/°C,out_beta/12bit,t_gamma/°C,out_gamma/12bit,t_epsilon/°C,out_epsilon/12bit,t_my/°C,out_my/12bit,t_amb/°C,u_time,timestamp,unix_time,h_time
,25.5,0.0,25.31,0.0,25.12,0.0,24.87,4095.0,25.25,0.0,12.06,1718142883,2024-06-11 21:54:43,1718142883,2024-06-11T21:54:43
,25.5,0.0,25.25,0.0,25.12,0.0,24.87,4095.0,25.25,0.0,12.06,1718142884,2024-06-11 21:54:44,1718142884,2024-06-11T21:54:44
,25.5,0.0,25.25,0.0,25.12,0.0,24.87,4095.0,25.25,0.0,12.06,1718142885,2024-06-11 21:54:45,1718142885,2024-06-11T21:54:45
,25.5,0.0,25.25,0.0,25.12,0.0,24.87,4095.0,25.25,0.0,12.06,1718142886,2024-06-11 21:54:46,1718142886,2024-06-11T21:54:46
,25.5,0.0,25.25,0.0,25.12,0.0,24.87,4095.0,25.25,0.0,12.06,1718142887,2024-06-11 21:54:47,1718142887,2024-06-11T21:54:47
,25.5,0.0,25.25,0.0,25.12,0.0,24.87,4095.0,25.25,0.0,12.06,1718142888,2024-06-11 21:54:48,1718142888,2024-06-11T21:54:48
,25.5,0.0,25.25,0.0,25.12,0.0,24.87,4095.0,25.25,0.0,12.06,1718142889,2024-06-11 21:54:49,1718142889,2024-06-11T21:54:49
,25.5,0.0,25.25,0.0,25.12,0.0,24.87,4095.0,25.25,0.0,12.06,1718142890,2024-06-11 21:54:50,1718142890,2024-06-11T21:54:50
,25.5,0.0,25.25,0.0,25.12,0.0,24.94,4095.0,25.19,0.0,12.06,1718142891,2024-06-11 21:54:51,1718142891,2024-06-11T21:54:51
,25.5,0.0,25.25,0.0,25.12,0.0,24.94,4095.0,25.19,0.0,12.06,1718142892,2024-06-11 21:54:52,1718142892,2024-06-11T21:54:52
,25.44,0.0,25.25,0.0,25.12,0.0,24.94,4095.0,25.19,0.0,12.06,1718142893,2024-06-11 21:54:53,1718142893,2024-06-11T21:54:53
,25.44,0.0,25.19,0.0,25.12,0.0,24.94,4095.0,25.19,0.0,12.06,1718142894,2024-06-11 21:54:54,1718142894,2024-06-11T21:54:54
,25.44,0.0,25.19,0.0,25.12,0.0,24.94,4095.0,25.19,0.0,12.06,1718142895,2024-06-11 21:54:55,1718142895,2024-06-11T21:54:55
,25.44,0.0,25.19,0.0,25.12,0.0,25.0,4095.0,25.19,0.0,12.06,1718142896,2024-06-11 21:54:56,1718142896,2024-06-11T21:54:56
,25.44,0.0,25.19,0.0,25.12,0.0,25.0,4095.0,25.19,0.0,12.06,1718142897,2024-06-11 21:54:57,1718142897,2024-06-11T21:54:57
,25.44,0.0,25.19,0.0,25.06,0.0,25.0,4095.0,25.12,0.0,12.06,1718142898,2024-06-11 21:54:58,1718142898,2024-06-11T21:54:58
,25.44,0.0,25.19,0.0,25.06,0.0,25.0,4095.0,25.19,0.0,12.06,1718142899,2024-06-11 21:54:59,1718142899,2024-06-11T21:54:59
,25.44,0.0,25.12,0.0,25.06,0.0,25.0,4095.0,25.12,0.0,12.06,1718142900,2024-06-11 21:55:00,1718142900,2024-06-11T21:55:00
,25.37,0.0,25.12,0.0,25.06,0.0,25.06,4095.0,25.12,0.0,12.06,1718142901,2024-06-11 21:55:01,1718142901,2024-06-11T21:55:01
,25.37,0.0,25.12,0.0,25.06,0.0,25.06,4095.0,25.12,0.0,12.06,1718142902,2024-06-11 21:55:02,1718142902,2024-06-11T21:55:02
,25.37,0.0,25.12,0.0,25.06,0.0,25.06,2039.0,25.12,0.0,12.06,1718142903,2024-06-11 21:55:03,1718142903,2024-06-11T21:55:03
,25.37,0.0,25.12,0.0,25.06,0.0,25.06,2039.0,25.12,0.0,12.06,1718142904,2024-06-11 21:55:04,1718142904,2024-06-11T21:55:04
,25.37,0.0,25.12,0.0,25.06,0.0,25.06,2031.0,25.12,0.0,12.06,1718142905,2024-06-11 21:55:05,1718142905,2024-06-11T21:55:05
,25.37,0.0,25.12,0.0,25.06,0.0,25.12,2031.0,25.12,0.0,12.06,1718142906,2024-06-11 21:55:06,1718142906,2024-06-11T21:55:06
,25.37,0.0,25.12,0.0,25.06,0.0,25.12,0.0,25.12,0.0,12.06,1718142907,2024-06-11 21:55:07,1718142907,2024-06-11T21:55:07
,25.37,0.0,25.12,0.0,25.06,0.0,25.12,0.0,25.12,0.0,12.06,1718142908,2024-06-11 21:55:08,1718142908,2024-06-11T21:55:08
