#h_time,t_alpha/°C,out_alpha/12bit,t_beta/°C,out_beta/12bit,t_gamma/°C,out_gamma/12bit,t_epsilon/°C,out_epsilon/12bit,t_my/°C,out_my/12bit,t_amb/°C,u_time,timestamp,unix_time
2024-06-12T18:26:34,60.0,3711.0,60.0,3359.0,60.0,3391.0,59.5,4095.0,60.0,3351.0,16.87,1718216794,2024-06-12 18:26:34,1718216794
2024-06-12T18:26:37,59.94,3719.0,60.0,3359.0,60.0,3391.0,59.5,4095.0,60.0,3351.0,16.87,1718216797,2024-06-12 18:26:37,1718216797
2024-06-12T18:26:38,60.0,3207.0,60.0,3359.0,60.0,3391.0,59.5,4095.0,60.0,3351.0,16.87,1718216798,2024-06-12 18:26:38,1718216798
2024-06-12T18:26:39,59.94,3207.0,60.0,3359.0,60.0,3391.0,59.5,4095.0,60.0,3351.0,16.87,1718216799,2024-06-12 18:26:39,1718216799
2024-06-12T18:26:40,60.0,3207.0,60.0,3359.0,60.0,3391.0,59.5,4095.0,60.0,3351.0,16.87,1718216800,2024-06-12 18:26:40,1718216800
2024-06-12T18:26:41,60.0,3207.0,60.0,3359.0,60.0,3391.0,59.5,4095.0,60.0,3351.0,16.87,1718216801,2024-06-12 18:26:41,1718216801
2024-06-12T18:26:42,60.0,3207.0,60.0,3359.0,60.0,3391.0,59.5,4095.0,60.0,3351.0,16.87,1718216802,2024-06-12 18:26:42,1718216802
2024-06-12T18:26:43,59.94,3727.0,60.0,3359.0,60.0,3391.0,59.5,4095.0,60.0,3351.0,16.87,1718216803,2024-06-12 18:26:43,1718216803
2024-06-12T18:26:44,60.0,3727.0,60.0,3359.0,60.0,3391.0,59.5,4095.0,60.0,3351.0,16.87,1718216804,2024-06-12 18:26:44,1718216804
2024-06-12T18:26:45,60.0,3215.0,60.0,3359.0,60.0,3391.0,59.5,4095.0,60.0,3351.0,16.87,1718216805,2024-06-12 18:26:45,1718216805
2024-06-12T18:26:46,60.0,3215.0,60.0,3359.0,60.0,3391.0,59.5,4095.0,60.0,3351.0,16.87,1718216806,2024-06-12 18:26:46,1718216806
2024-06-12T18:26:47,60.0,3215.0,60.0,3359.0,60.0,3391.0,59.5,4095.0,60.0,3351.0,16.87,1718216807,2024-06-12 18:26:47,1718216807
2024-06-12T18:26:48,60.0,3215.0,60.0,3359.0,60.0,3391.0,59.5,4095.0,60.0,3351.0,16.87,1718216808,2024-06-12 18:26:48,1718216808
2024-06-12T18:26:49,60.0,3215.0,60.0,3359.0,60.0,3391.0,59.5,4095.0,60.0,3351.0,16.87,1718216809,2024-06-12 18:26:49,1718216809
2024-06-12T18:26:50,59.94,3735.0,60.0,3359.0,60.0,3391.0,59.5,4095.0,60.0,3351.0,16.87,1718216810,2024-06-12 18:26:50,1718216810
2024-06-12T18:26:51,60.0,3735.0,60.0,3359.0,60.0,3391.0,59.5,4095.0,60.0,3351.0,16.87,1718216811,2024-06-12 18:26:51,1718216811
2024-06-12T18:26:52,60.0,3735.0,60.0,3359.0,60.0,3391.0,59.5,4095.0,60.0,3351.0,16.87,1718216812,2024-06-12 18:26:52,1718216812
2024-06-12T18:26:53,60.0,3223.0,60.0,3359.0,60.0,3391.0,59.5,4095.0,60.0,3351.0,16.87,1718216813,2024-06-12 18:26:53,1718216813
2024-06-12T18:26:54,60.0,3223.0,60.0,3359.0,60.0,3391.0,59.5,4095.0,60.0,3351.0,16.87,1718216814,2024-06-12 18:26:54,1718216814
2024-06-12T18:26:55,60.0,3223.0,60.0,3359.0,60.0,3391.0,59.5,4095.0,60.0,3351.0,16.87,1718216815,2024-06-12 18:26:55,1718216815
2024-06-12T18:26:56,60.0,3223.0,60.0,3359.0,60.0,3391.0,59.5,4095.0,60.0,3351.0,16.87,1718216816,2024-06-12 18:26:56,1718216816
2024-06-12T18:26:57,60.0,3223.0,60.0,3359.0,60.0,3391.0,59.5,4095.0,60.0,3351.0,16.87,1718216817,2024-06-12 18:26:57,1718216817
2024-06-12T18:26:58,60.0,3223.0,60.0,3359.0,60.0,3391.0,59.5,4095.0,60.0,3351.0,16.87,1718216818,2024-06-12 18:26:58,1718216818
2024-06-12T18:26:59,60.0,3223.0,60.0,3359.0,60.0,3391.0,59.5,4095.0,60.0,3351.0,16.87,1718216819,2024-06-12 18:26:59,1718216819
2024-06-12T18:27:00,60.0,3223.0,60.0,3359.0,60.0,3391.0,59.5,4095.0,60.0,3351.0,16.87,1718216820,2024-06-12 18:27:00,1718216820
2024-06-12T18:27:01,60.0,3223.0,60.0,3359.0,60.0,3391.0,59.5,4095.0,60.0,3351.0,16.87,1718216821,2024-06-12 18:27:01,1718216821
2024-06-12T18:27:02,60.0,3223.0,60.0,3359.0,60.0,3391.0,59.5,4095.0,60.0,3351.0,16.87,1718216822,2024-06-12 18:27:02,1718216822
2024-06-12T18:27:03,60.0,3223.0,60.0,3359.0,60.0,3391.0,59.5,4095.0,60.0,3351.0,16.87,1718216823,2024-06-12 18:27:03,1718216823
2024-06-12T18:27:04,60.0,3223.0,60.0,3359.0,60.0,3391.0,59.5,4095.0,60.0,3351.0,16.87,1718216824,2024-06-12 18:27:04,1718216824
2024-06-12T18:27:05,60.0,3223.0,60.0,3359.0,60.0,3391.0,59.5,4095.0,60.0,3351.0,16.87,1718216825,2024-06-12 18:27:05,1718216825
2024-06-12T18:27:06,60.0,3223.0,60.0,3359.0,60.0,3391.0,59.5,4095.0,60.0,3351.0,16.87,1718216826,2024-06-12 18:27:06,1718216826
2024-06-12T18:27:07,60.0,3223.0,60.0,3359.0,60.0,3391.0,59.5,4095.0,60.0,3351.0,16.87,1718216827,2024-06-12 18:27:07,1718216827
2024-06-12T18:27:08,60.0,3223.0,59.94,3359.0,60.0,3391.0,59.5,4095.0,60.0,3351.0,16.87,1718216828,2024-06-12 18:27:08,1718216828
2024-06-12T18:27:09,60.0,3223.0,60.0,3359.0,60.0,3391.0,59.5,4095.0,60.0,3351.0,16.87,1718216829,2024-06-12 18:27:09,1718216829
2024-06-12T18:27:10,60.0,3223.0,60.0,3359.0,60.0,3391.0,59.5,4095.0,60.0,3351.0,16.87,1718216830,2024-06-12 18:27:10,1718216830
2024-06-12T18:27:11,60.0,3223.0,60.0,3359.0,60.0,3391.0,59.5,4095.0,60.0,3351.0,16.87,1718216831,2024-06-12 18:27:11,1718216831
2024-06-12T18:27:12,60.0,3223.0,60.0,3359.0,60.0,3391.0,59.5,4095.0,60.0,3351.0,16.87,1718216832,2024-06-12 18:27:12,1718216832
2024-06-12T18:27:13,60.0,3223.0,60.0,3359.0,60.0,3391.0,59.5,4095.0,60.0,3351.0,16.87,1718216833,2024-06-12 18:27:13,1718216833
2024-06-12T18:27:14,60.0,3223.0,60.0,3359.0,60.0,3391.0,59.5,4095.0,59.94,3871.0,16.87,1718216834,2024-06-12 18:27:14,1718216834
2024-06-12T18:27:15,60.0,3223.0,60.0,3359.0,60.0,3391.0,59.5,4095.0,60.0,3871.0,16.87,1718216835,2024-06-12 18:27:15,1718216835
2024-06-12T18:27:16,60.0,3223.0,59.94,3359.0,60.0,3391.0,59.5,4095.0,60.0,3871.0,16.87,1718216836,2024-06-12 18:27:16,1718216836
2024-06-12T18:27:17,60.0,3223.0,59.94,3359.0,60.0,3391.0,59.5,4095.0,60.0,3359.0,16.87,1718216837,2024-06-12 18:27:17,1718216837
2024-06-12T18:27:18,60.0,3223.0,60.0,3359.0,60.0,3391.0,59.5,4095.0,60.0,3359.0,16.81,1718216838,2024-06-12 18:27:18,1718216838
2024-06-12T18:27:19,60.0,3223.0,60.0,3359.0,60.0,3391.0,59.5,4095.0,60.0,3359.0,16.81,1718216839,2024-06-12 18:27:19,1718216839
2024-06-12T18:27:20,59.94,3223.0,59.94,3359.0,60.0,3391.0,59.5,4095.0,60.0,3359.0,16.81,1718216840,2024-06-12 18:27:20,1718216840
2024-06-12T18:27:21,60.0,3223.0,60.0,3359.0,60.0,3391.0,59.5,4095.0,60.0,3359.0,16.81,1718216841,2024-06-12 18:27:21,1718216841
2024-06-12T18:27:22,60.0,3223.0,60.0,3359.0,60.0,3391.0,59.5,4095.0,60.0,3359.0,16.81,1718216842,2024-06-12 18:27:22,1718216842
2024-06-12T18:27:23,60.0,3223.0,60.0,3359.0,60.0,3391.0,59.5,4095.0,60.0,3359.0,16.81,1718216843,2024-06-12 18:27:23,1718216843
